标题,链接,发布时间,内容
看来，是真的有问题了 根据澄清公告，天壕原募投项目改为合作运营方式，好像没有公告,"https://guba.eastmoney.com/news,300332,728314144.html",2017-11-15 08:09:34,"看来，是真的有问题了
根据澄清公告，天壕原募投项目改为合作运营方式，好像没有公告，有没有违反信息披露规定。听说，天壕与赛诺老总是同学，资金改变用途，有没有为业绩承诺作保驾护航之嫌"
666 牛了！,"https://guba.eastmoney.com/news,300332,729061770.html",2017-11-16 16:46:05,666 牛了！
去死吧,"https://guba.eastmoney.com/news,300332,729048341.html",2017-11-16 16:16:27,去死吧
这垃圾  亏了20多个点还在跌  有完没完啊,"https://guba.eastmoney.com/news,300332,729012775.html",2017-11-16 15:10:41,这垃圾 亏了20多个点还在跌 有完没完啊
他妈的今天全部股票涨。就这鬼东西。去死吧。天豪环境,"https://guba.eastmoney.com/news,300332,728954068.html",2017-11-16 13:52:42,他妈的今天全部股票涨。就这鬼东西。去死吧。天豪环境
不玩了，出货一半留一半，先换低市盈率蓝筹，等跌到位再来，狗庄就慢慢砸盘吧。,"https://guba.eastmoney.com/news,300332,728989677.html",2017-11-16 14:41:19,不玩了，出货一半留一半，先换低市盈率蓝筹，等跌到位再来，狗庄就慢慢砸盘吧。
这种走势，唯一的解释就是庄家死命砸，让大家受不了，交出筹码。,"https://guba.eastmoney.com/news,300332,728618021.html",2017-11-15 18:27:45,这种走势，唯一的解释就是庄家死命砸，让大家受不了，交出筹码。
看样子7元以下还得呆几个月,"https://guba.eastmoney.com/news,300332,728950861.html",2017-11-16 13:48:07,明年才会有机会上七元的可能性大
大家都不要交出筹码。等庄自己玩,"https://guba.eastmoney.com/news,300332,728919134.html",2017-11-16 12:53:37,大家都不要交出筹码。等庄自己玩
没有量，今天周四，小心下午跳水，,"https://guba.eastmoney.com/news,300332,728878305.html",2017-11-16 11:18:42,没有量，今天周四，小心下午跳水，
涨得多艰难！,"https://guba.eastmoney.com/news,300332,728871028.html",2017-11-16 11:07:22,涨得多艰难！
修先人,"https://guba.eastmoney.com/news,300332,728885686.html",2017-11-16 11:29:42,修先人
现在又是横盘，看看下周一短命机构是否又要砸盘,"https://guba.eastmoney.com/news,300332,728855420.html",2017-11-16 10:42:56,损人不利己的短命机构不干人事
